,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
142,20200630,BTC,9138.55,9192.93,9205.0,9064.89,31463.162801000028,-60.03577663887518,37.42011979365808,-98.6481695321718,53.19203090608781,0.0
143,20200630,ETH,225.6,227.98,228.7,222.91,415036.0297699996,-1.5928780618589542,38.71269842281336,-92.81150159744445,40.4865497138083,0.0
144,20200630,LINK,4.5626,4.6192,4.6622,4.5337,3008041.609999994,0.08455706795228135,54.35264964929356,71.54400989151144,4.93725354677244,0.0
145,20200630,LTC,41.17,41.87,42.07,40.73,170712.36761000028,-0.48100696657665054,34.23240514162592,-135.1950245700253,57.02828390051246,0.0
146,20200630,VET,0.008837000000000001,0.008690999999999999,0.008872,0.008579999999999999,871690740.0,-3.353880929561799e-05,48.70098686203423,-29.36163741978642,18.403038916840913,0.0
147,20200701,ADA,0.09681,0.083,0.09708,0.0824,627920438.8999997,0.0014004600154629288,66.12196821563619,311.9313142749322,34.15018532646219,0.0
148,20200701,BNB,15.8144,15.3959,15.8888,15.3363,1612208.1900000018,-0.1717853224054693,38.73220499988538,-71.9471574860453,48.21930265241045,0.0
149,20200701,BTC,9232.0,9138.08,9292.0,9080.1,38488.528698999915,-55.585981133392124,40.40842117637263,-65.88763269889684,43.01017071338607,0.0
150,20200701,ETH,230.99,225.59,232.71,224.16,517351.5886500002,-1.3483303877366382,43.57612339005753,-42.290367493068025,27.722966393524533,0.0
151,20200701,LINK,4.7067,4.5625,4.73,4.5217,4096719.299999992,0.09000859630313762,57.57061244631869,83.74294899725585,10.39471642255528,0.0
152,20200701,LTC,41.77,41.16,42.01,40.96,189759.3366799997,-0.4777883750076626,37.45219946671357,-109.44081336238229,57.028283900512456,0.0
153,20200701,VET,0.009436,0.008842000000000001,0.009528,0.008668,2060252162.0,1.1901805255849773e-05,55.81030929853437,85.67350221150012,6.439659150694646,0.0
154,20200702,ADA,0.09291,0.09685,0.09685,0.08742,745942280.8000003,0.0018974468588166399,60.74595519291335,260.69635503727574,34.15018532646218,0.0
155,20200702,BNB,15.3634,15.8123,15.9796,15.0743,1399345.390000003,-0.1828730660593063,34.679401697439474,-98.97625451180159,53.127170951211426,0.0
156,20200702,BTC,9086.54,9231.99,9261.96,8940.0,45725.168076000016,-61.35823085305492,37.523212586568775,-105.59224338347525,48.86110081055473,0.0
157,20200702,ETH,226.46,230.99,232.01,222.87,592485.9111499992,-1.450446436700787,40.7637163016755,-70.02479623998195,29.91267531404499,0.0
158,20200702,LINK,4.7996,4.7068,4.9181,4.6025,7638387.3500000015,0.0994808857574716,59.4758718567845,106.96599330239638,23.431061727910755,0.0
159,20200702,LTC,41.05,41.76,41.9,40.28,274520.05417,-0.5185432873990479,35.30646996946216,-129.37969932215628,61.15292465583793,0.0
160,20200702,VET,0.009556,0.009437,0.009768,0.0091,2786928921.0,5.515460910555242e-05,57.044039830644856,140.5349336539026,13.534608848985327,0.0
